sep=;
#; CourseCode; CourseTitle; section; time; date; instructor; credit
234; EDUC 453; Extended Practicum; C; -; ; Cynthia McCarthy; 15.00
235; EDUC 455; Curr & Pedagogy: K-7 Lang Arts; A; 6:15 PM - 9:00 PM; ; Lisa Peterson; 3.00
236; EDUC 455; Curr & Pedagogy: K-7 Lang Arts; P; 6:15 PM - 9:00 PM; ; Lisa Peterson; 3.00
237; EDUC 457; Curr & Pedagogy: K-7 Social Studies; A; -; ; James Willms; 2.00
238; EDUC 457; Curr & Pedagogy: K-7 Social Studies; B; -; ; Lesley Willms; 2.00
239; EDUC 458; Curriculum & Pedagogy: K-7 Science; A; -; ; Susan Dykshoorn; 2.00
240; EDUC 458; Curriculum & Pedagogy: K-7 Science; B; -; ; Barbara Hofmann; 2.00
241; EDUC 465; Teach&Learn in Secondary School; A; 6:15 PM - 9:00 PM; ; Kevin Mirchandani; 3.00
242; EDUC 465; Teach&Learn in Secondary School; P; 6:15 PM - 9:00 PM; ; Kevin Mirchandani; 3.00
243; EDUC 475; Teach & Learn in Major Subject 8-12; A; -; ; Cynthia McCarthy; 3.00
244; EDUC 495; Critical Issues Values & Class Mgmt; A; 12:00 PM - 2:45 PM; ; Yu-Ling Lee; 3.00
245; EDUC 495; Critical Issues Values & Class Mgmt; P; 12:00 PM - 2:45 PM; ; Yu-Ling Lee; 3.00
246; EDUC 496; Indigenous Perspectives in Educ.; A; 12:00 PM - 2:45 PM; ; Matthew; 3.00
247; EDUC 496; Indigenous Perspectives in Educ.; P; 3:00 PM - 5:45 PM; ; Matthew; 3.00
248; ENGL 101; Introduction to Writing; A; 8:00 AM - 9:15 AM; R; Gordon Reisdorf; 3.00
249; ENGL 101; Introduction to Writing; B; 3:00 PM - 4:15 PM; R; Gordon Reisdorf; 3.00
250; ENGL 101; Introduction to Writing; GX; 12:00 AM - 12:01 AM; ; Shine Hong; 3.00
251; ENGL 101; Introduction to Writing; I2; 10:30 AM - 11:45 AM; ; Nam; 3.00
252; ENGL 101; Introduction to Writing; I3; 1:00 PM - 2:15 PM; WF; Nam; 3.00
253; ENGL 101; Introduction to Writing; I4; 2:30 PM - 3:45 PM; WF; Jocelyn Maleniza; 3.00
254; ENGL 101; Introduction to Writing; IN; 9:30 AM - 10:45 AM; ; Christy Best; 3.00
